Post code,Municipality code,Prosperity index
7063,55040,95
6224,52021,88
7030,53053,87
1180,21016,111
1421,25014,117
2230,13013,108
2100,11002,87
5589,91114,92
5620,93022,92
5575,91054,88
5650,93088,102
8540,34009,106
8587,34043,99
8906,33011,100
6663,82014,92
6724,85046,111
1935,23094,102
1851,23025,114
3090,23062,130
9099,44021,103
9220,42008,102
9772,45068,117
9992,43010,104
4263,64015,107
4253,64029,112
4850,63088,91
4983,63086,94
4030,62063,81
4837,63004,101
4190,61019,104
4731,63061,104
4950,63080,94
4684,62079,94
4250,64029,112
7540,57081,95
7181,55085,109
7760,57018,95
7530,57081,95
7618,57072,91
7912,51065,101
6000,52011,72
7904,57094,95
7380,53068,80
7070,55035,103
1000,21014,54
1160,21002,104
1340,25121,105
2570,12009,114
2830,12040,100
2450,13021,107
2560,12026,110
2223,12014,110
2800,12025,105
5521,91103,96
5100,92094,98
5332,92006,109
3680,72021,100
3740,73006,103
8940,33029,93
8952,33039,94
6637,82009,99
6674,82037,88
6830,84010,89
6941,83012,92
3390,24135,115
3202,24001,114
1600,23077,96
3060,24009,130
5190,92140,97
5010,92094,98
5101,92094,98
5524,91103,96
3930,72037,94
3945,71069,105
8300,31043,150
8531,34013,102
8790,34040,106
8792,34040,106
6920,84075,94
9521,41063,116
4040,62051,80
4801,63079,77
4280,64034,111
4700,63023,96
4357,64023,120
4980,63086,94
6001,52011,72
7970,51008,94
7972,51008,94
7803,51004,102
6042,52011,72
612,21004,70
1000,21004,70
2275,13019,108
2650,11013,122
2030,11002,87
2950,11023,129
6831,84010,89
6971,83049,98
1804,23088,92
1671,23064,122
1730,23002,104
1702,23016,114
3111,24094,127
1560,23033,126
1601,23077,96
9111,46021,96
9470,41011,101
9950,44085,113
9688,45064,120
9831,44064,151
9320,41002,105
9090,44040,121
9230,42025,106
9880,44084,115
9970,43007,114
9420,41082,115
9260,42026,112
4721,63040,89
4350,64063,113
4100,62096,77
4852,63088,91
4218,61028,110
7511,57081,95
7800,51004,102
7022,53053,87
7533,57081,95
7090,55004,100
7032,53053,87
1082,21003,82
1400,25072,113
2812,12025,105
2910,11016,102
2990,11053,106
5362,91059,100
3631,73107,87
3971,71034,96
8500,34022,103
8710,37017,100
6743,85009,116
6790,81004,89
6811,85007,94
6856,84050,90
6887,84029,92
6972,83049,98
3221,24043,130
3000,24062,114
1980,23096,130
3220,24043,130
1861,23050,126
1760,23097,119
1670,23064,122
1755,23024,119
3460,24008,112
3061,24009,130
1547,23009,111
9400,41048,104
9960,43002,111
9400,41048,104
4650,63035,102
4840,63084,96
4537,61063,117
7513,57081,95
7850,51068,115
7971,51008,94
7501,57081,95
7160,52010,88
7643,57003,89
7642,57003,89
7870,53046,98
6543,56044,102
7387,53083,101
1035,21015,68
1348,25121,105
1470,25031,116
2930,11008,121
2920,11022,118
2180,11002,87
2660,11002,87
5060,92137,88
5560,91072,92
5374,91064,96
3500,71022,113
3511,71022,113
3570,73001,112
3920,72020,100
8450,35002,106
8501,34022,103
8510,34022,103
8551,34042,106
8793,34040,106
8860,34025,104
8950,33039,94
8953,33039,94
6750,85026,101
6762,85045,95
1652,23003,114
1701,23016,114
1620,23098,90
5680,93018,88
5330,92006,109
5562,91072,92
3870,73022,101
8211,31040,110
8890,36012,99
6984,83031,93
4360,64056,105
7880,51019,104
3190,24014,126
9800,44083,114
4780,63067,103
4630,62099,99
4760,63012,98
4171,62026,91
7538,57081,95
6530,56078,103
6280,52025,115
6592,56051,77
1009,21004,70
1048,21004,70
1080,21012,58
2600,11002,87
2340,13004,112
2861,12035,116
2440,13008,109
2070,11056,105
2880,12007,120
2221,12014,110
3078,24055,124
3384,24137,120
3191,24014,126
4633,62099,99
6180,52015,85
7060,55040,95
6030,52011,72
6099,52021,88
6463,56016,85
7742,57062,96
6183,52015,85
7390,53065,76
6220,52021,88
7133,58002,90
1212,21014,54
1210,21014,54
1083,21008,79
1190,21007,81
1357,25118,104
1367,25122,107
1428,25014,117
2540,11021,141
2970,11039,138
2290,13044,108
5353,92097,100
3540,71024,111
3668,71002,107
3890,71017,109
8902,33011,100
8958,33039,94
8980,33037,99
6851,84050,90
6929,84016,86
6986,83031,93
3471,24054,111
3110,24094,127
9255,42004,116
9660,45059,110
9551,41027,114
4000,62063,81
4347,64025,109
4791,63087,98
4219,64075,103
4052,62022,125
1741,23086,114
1982,23096,130
9620,41081,116
9451,41024,113
9000,44021,103
4550,61043,126
4653,63035,102
4845,63038,113
7340,53082,73
7900,57094,95
7812,51004,102
7050,53044,109
7951,51014,97
1012,21004,70
1007,21004,70
1140,21006,73
1360,25084,111
1430,25123,100
1476,25031,116
1495,25107,114
2430,13053,108
2328,13014,100
2820,12005,136
2260,13049,109
2811,12025,105
2110,11050,110
5504,91034,89
5574,91013,87
3630,73107,87
3730,73032,106
8020,31022,112
8200,31005,110
8380,31005,110
8420,35029,117
8581,34003,101
6741,85009,116
6800,84077,97
6880,84009,90
6922,84075,94
6951,83040,94
6982,83031,93
1733,23002,104
1853,23025,114
1930,23094,102
3051,24086,143
1740,23086,114
3461,24008,112
5360,91059,100
5646,92087,101
5503,91034,89
5563,91072,92
5002,92094,98
3832,73098,110
8600,32003,97
8920,33040,100
6720,85046,111
6823,85011,90
6927,84068,97
1500,23027,104
3454,24028,104
1850,23025,114
1970,23103,123
9075,44021,103
9870,44081,107
9040,44021,103
9961,43002,111
9060,43018,95
9990,43010,104
4180,61024,96
4682,62079,94
4317,64076,115
4340,62006,106
4460,62118,83
4720,63040,89
7031,53053,87
7322,51009,91
6043,52011,72
7621,57093,96
6222,52021,88
7866,51069,92
7950,51014,97
1047,21009,94
1099,21004,70
1040,21005,83
2380,13035,95
2020,11002,87
2018,11002,87
4701,63023,96
6533,56078,103
7120,58003,99
7534,57081,95
7543,57081,95
7943,51012,97
6540,56044,102
7536,57081,95
7901,57094,95
7903,57094,95
7141,58004,88
1011,21004,70
1030,21015,68
1450,25117,116
1461,25044,115
2840,11037,117
5012,92094,98
5502,91034,89
5572,91013,87
5580,91114,92
3560,71037,110
3690,71067,108
6723,85046,111
6820,85011,90
6940,83012,92
1880,23039,121
1790,23105,116
3293,24020,111
1785,23052,116
9406,41048,104
9971,43007,114
9403,41048,104
9940,44019,113
9982,43014,106
9572,45063,111
9280,42011,108
4610,62015,89
4851,63088,91
4680,62079,94
4790,63087,98
4800,63079,77
4870,63057,121
4800,63079,77
4032,62063,81
5350,92097,100
5330,92006,109
5020,92094,98
3520,71066,109
3721,73040,108
8470,35005,104
8580,34003,101
6780,81015,119
9052,44021,103
9910,44084,115
4162,61079,110
4683,62079,94
4254,64029,112
4650,63035,102
4820,63020,66
4654,63035,102
4430,62003,88
6440,56029,88
7911,51065,101
7024,53053,87
7012,53053,87
6791,81004,89
6960,83055,96
1761,23097,119
7810,51004,102
1044,21015,68
1380,25119,140
2099,11002,87
2220,12014,110
2250,13029,108
2050,11002,87
2288,13010,114
8511,34022,103
8780,37010,100
6760,85045,95
3391,24135,115
1980,23096,130
3071,24055,124
5520,91103,96
5070,92048,98
5336,92006,109
3670,72042,102
3732,73032,106
3940,72038,98
3960,72004,99
8340,31006,111
8420,35029,117
8573,34002,108
6706,81001,114
3211,24066,131
1910,23038,127
9120,46003,115
9520,41063,116
9667,45062,125
4452,62060,107
4101,62096,77
4210,61010,115
4802,63079,77
4900,63072,97
6470,56088,91
7801,51004,102
7080,53028,84
7811,51004,102
6031,52011,72
7640,57003,89
7782,57097,80
7743,57062,96
6591,56051,77
7180,55085,109
6182,52015,85
7011,53053,87
7502,57081,95
6590,56051,77
7062,55040,95
6223,52021,88
1110,21004,70
1005,21004,70
1310,25050,124
2980,11055,121
2960,11009,115
2222,12014,110
2580,12029,115
8377,31042,115
8432,35011,107
8520,34023,100
6838,84010,89
6924,84075,94
1630,23100,122
3040,24045,127
9,24134,109
3000,24062,114
1602,23077,96
3350,24133,113
1932,23094,102
3070,24055,124
5630,93010,95
5561,91072,92
5140,92114,104
5660,93014,84
5031,92142,110
5570,91013,87
3723,73040,108
3840,73009,103
3910,72043,99
8840,36019,95
6700,81001,114
6824,85011,90
9550,41027,114
9100,46021,96
9988,43014,106
9250,42023,125
9150,46013,111
9810,44048,120
9400,41048,104
4590,61048,103
4606,62027,110
4880,63003,106
4831,63046,96
4710,63048,96
4453,62060,107
6060,52011,72
7040,53084,103
6536,56078,103
7804,51004,102
6542,56044,102
6461,56016,85
7531,57081,95
7532,57081,95
1000,21009,94
1390,25037,123
2235,13016,108
5310,92035,110
5670,93090,86
3792,73109,101
8620,38016,110
8951,33039,94
6670,82037,88
6721,85046,111
6767,85047,93
1934,23047,86
3018,24062,114
3201,24001,114
3360,24011,134
3080,24104,129
3380,24137,120
1651,23003,114
9921,44085,113
9931,44085,113
4170,62026,91
4400,62120,88
4122,62121,129
4121,62121,129
4099,62006,106
4631,62099,99
4890,63089,107
4470,64065,98
7542,57081,95
7331,53070,95
7600,57064,88
6111,52048,113
6040,52011,72
7520,57081,95
1341,25121,105
1350,25120,108
2242,11054,115
2850,11005,93
2491,13003,104
2480,13006,101
3470,24054,111
9404,41048,104
9840,44012,141
9506,41018,103
9160,46014,102
9900,43005,100
4420,62093,75
6150,56001,85
7610,57072,91
7522,57081,95
7370,53020,83
7602,57064,88
6010,52011,72
7321,51009,91
7906,57094,95
7608,57064,88
1315,25043,113
1473,25031,116
2280,13010,114
2040,11002,87
4287,64047,106
4620,62038,95
4217,61028,110
5372,91064,96
5354,92097,100
5021,92094,98
3790,73109,101
3900,72043,99
8433,35011,107
8583,34003,101
8810,36011,104
8870,36008,100
6673,82037,88
6681,82038,87
6690,82032,89
6792,81004,89
6833,84010,89
1770,23044,103
3473,24054,111
3020,24038,133
1981,23096,130
5003,92094,98
5340,92054,112
6661,82014,92
1701,23016,114
9310,41002,105
9042,44021,103
9520,41063,116
9552,41027,114
4728,63040,89
4520,61072,105
4987,63075,105
4557,61081,112
7130,58002,90
7503,57081,95
7622,57093,96
7603,57064,88
7041,53084,103
1170,21017,107
1332,25091,123
1435,25068,117
1471,25031,116
1480,25105,91
2300,13040,93
2370,13001,99
2243,11054,115
2160,11052,110
5300,92003,94
5544,91142,84
5004,92094,98
3806,71053,103
8530,34013,102
8900,33011,100
8930,34027,91
6680,82038,87
6704,81001,114
6740,85009,116
3400,24059,110
1800,23088,92
1840,23045,118
